id_recette,id_food,quantite_g,facteur_retention
1,44,250.0,0.7
1,82,350.0,0.7
1,59,6.0,0.7
1,440,50.0,0.7
1,419,100.0,0.7
1,438,100.0,0.7
1,412,1.0,0.7
1,433,1.0,0.7
1,248,2.0,0.7
1,172,1.0,0.7
1,222,100.0,0.7
1,313,2.0,0.7
1,301,1.0,0.7
1,238,8.0,0.7
1,213,850.0,0.7
1,310,2.0,0.7
2,449,2.0,0.8
2,443,2.0,0.8
2,175,1000.0,0.8
2,287,2.0,0.8
2,54,100.0,0.8
2,175,1000.0,0.8
2,97,4.0,0.8
2,175,350.0,0.8
2,305,2.0,0.8
2,287,100.0,0.8
2,172,2.0,0.8
3,213,200.0,0.8
3,287,2000.0,0.8
3,172,1.0,0.8
3,440,50.0,0.8
3,411,0.5,0.8
3,412,0.5,0.8
3,410,50.0,0.8
3,409,50.0,0.8
3,103,2.0,0.8
3,59,2.0,0.8
3,213,200.0,0.8
3,355,80.0,0.8
3,232,3.0,0.8
3,222,5.0,0.8
3,172,5.0,0.8
3,310,2.0,0.8
3,172,15.0,0.8
3,232,3.0,0.8
4,433,1.0,0.8
4,18,250.0,0.8
4,172,1.0,0.8
4,415,3.0,0.8
4,355,100.0,0.8
4,443,150.0,0.8
4,298,1.0,0.8
4,172,1.0,0.8
4,172,1.0,0.8
4,172,0.5,0.8
4,222,3.0,0.8
4,287,2500.0,0.8
4,364,150.0,0.8
4,172,1.0,0.8
4,232,1.0,0.8
4,172,0.5,0.8
4,172,15.0,0.8
5,213,250.0,0.8
5,433,1.0,0.8
5,415,1.0,0.8
5,374,250.0,0.8
5,406,1.0,0.8
5,172,1.0,0.8
5,172,0.5,0.8
5,172,1.0,0.8
5,172,1.0,0.8
5,200,50.0,0.8
5,200,80.0,0.8
5,355,80.0,0.8
5,301,1.0,0.8
5,440,80.0,0.8
5,439,80.0,0.8
5,411,0.5,0.8
5,451,80.0,0.8
5,443,80.0,0.8
5,419,80.0,0.8
5,172,1.0,0.8
5,222,4.0,0.8
5,287,2000.0,0.8
6,213,380.0,0.7
6,287,3000.0,0.7
6,172,1.0,0.7
6,59,1.0,0.7
6,248,0.5,0.7
6,213,20.0,0.7
6,222,5.0,0.7
6,172,5.0,0.7
6,313,8.0,0.7
6,213,200.0,0.7
6,213,100.0,0.7
6,59,100.0,0.7
6,213,400.0,0.7
6,232,4.0,0.7
6,232,3.0,0.7
6,172,15.0,0.7
6,213,5.0,0.7
6,172,0.25,0.7
6,412,0.25,0.7
6,232,2.0,0.7
6,195,3.0,0.7
6,248,3.0,0.7
6,287,1000.0,0.7
7,82,1500.0,0.8
7,59,1000.0,0.8
7,266,1.0,0.8
7,222,5.0,0.8
7,172,1.0,0.8
7,172,1.0,0.8
7,172,1.0,0.8
7,172,0.5,0.8
7,313,8.0,0.8
7,298,2.0,0.8
7,287,100.0,0.8
7,136,500.0,0.8
7,172,1.0,0.8
7,317,250.0,0.8
7,213,80.0,0.8
7,298,1.0,0.8
8,136,360.0,1.0
8,51,100.0,1.0
8,159,0.5,1.0
8,287,2.0,1.0
8,53,150.0,1.0
8,213,40.0,1.0
8,213,50.0,1.0
8,317,200.0,1.0
8,172,2.0,1.0
8,298,1.0,1.0
9,136,2.0,0.8
9,433,1.0,0.8
9,213,40.0,0.8
9,222,1.0,0.8
9,213,250.0,0.8
9,301,1.0,0.8
9,159,1.0,0.8
9,298,1.0,0.8
9,313,6.0,0.8
9,287,1500.0,0.8
9,213,100.0,0.8
9,232,3.0,0.8
10,213,500.0,0.8
10,287,1500.0,0.8
10,172,1.0,0.8
10,51,750.0,0.8
10,213,80.0,0.8
10,213,100.0,0.8
11,420,2.0,0.8
11,103,2.0,0.8
11,159,1.0,0.8
11,320,80.0,0.8
11,213,80.0,0.8
11,221,150.0,0.8
11,209,2.0,0.8
11,103,2.0,0.8
11,159,1.0,0.8
11,213,80.0,0.8
11,213,80.0,0.8
11,221,150.0,0.8
12,364,250.0,0.7
12,222,80.0,0.7
12,248,2.0,0.7
12,82,200.0,0.7
12,415,1.0,0.7
12,172,1.0,0.7
12,200,1250.0,0.7
12,443,80.0,0.7
12,82,1.0,0.7
12,440,80.0,0.7
12,439,80.0,0.7
12,213,150.0,0.7
12,82,150.0,0.7
12,232,2.0,0.7
12,195,8.0,0.7
12,313,8.0,0.7
12,172,15.0,0.7
12,232,3.0,0.7
13,213,750.0,0.8
13,433,1.0,0.8
13,248,2.0,0.8
13,172,1.0,0.8
13,172,0.5,0.8
13,172,1.0,0.8
13,238,6.0,0.8
13,222,4.0,0.8
13,287,750.0,0.8
13,451,350.0,0.8
13,443,350.0,0.8
13,301,1.0,0.8
13,172,0.25,0.8
14,125,4.0,0.7
14,173,1.0,0.7
14,213,2.0,0.7
14,213,150.0,0.7
14,213,100.0,0.7
14,287,4.0,0.7
14,298,1.0,0.7
14,317,8.0,0.7
14,317,40.0,0.7
14,18,5.0,0.7
15,56,18.0,1.0
15,136,150.0,1.0
15,317,100.0,1.0
15,175,1.0,1.0
15,50,150.0,1.0
15,100,50.0,1.0
16,56,18.0,1.0
16,370,130.0,1.0
16,213,50.0,1.0
16,222,1.0,1.0
16,320,50.0,1.0
16,310,2.0,1.0
17,317,300.0,1.0
17,287,750.0,1.0
17,287,2.0,1.0
17,37,160.0,1.0
17,287,150.0,1.0
18,82,4.0,0.8
18,433,2.0,0.8
18,248,2.0,0.8
18,172,3.0,0.8
18,172,1.0,0.8
18,172,0.5,0.8
18,172,1.0,0.8
18,172,1.0,0.8
18,225,80.0,0.8
18,172,1.0,0.8
18,287,250.0,0.8
18,313,4.0,0.8
19,213,4.0,0.8
19,433,1.0,0.8
19,248,2.0,0.8
19,301,1.0,0.8
19,172,1.0,0.8
19,172,0.5,0.8
19,172,1.0,0.8
19,313,10.0,0.8
19,298,1.0,0.8
