id_recette,url,titre,categorie_principale,sous_categorie,temps_cuisson,temps_total,nombre_personnes,ingredients,instructions,est_laitier,symptomes_contre_indiques,teneur_en_polyphenols
1,https://www.choumicha.ma/recette/1580-paella-mixte.html,Paella mixte,Saveurs du maroc,Poissons et crustacés,45m,1h 15m,4,"250 g de riz | 350 g de poulet coupé en morceaux | 6 côtelettes d’agneau | 50 g de petits pois écossés | 100 g de courgettes coupées en 4 | 100 g de fèves écossées | 1 poivron rouge grillé, pelé, épépiné et coupé en lanières | 1 oignon finement émincé | 2 gousses d’ail émincées | 1 c. à soupe de concentré de tomate | 10 cl d’huile d’olive | 2 pincées de pistils de safran | 1 bouquet de coriandre | 4 brins de thym frais | 85 cl de bouillon de poulet ou de légumes | Sel et poivre","Préparation | Dans une poêle à paella sur feu doux, faire chauffer l’huile d’olive et y faire dorer les morceaux de poulet et les côtelettes d’agneau. Les retirer et les réserver. | Dans la même huile, faire revenir l’ail et l’oignon émincés. | Ajouter le riz en remuant jusqu’à ce qu’il devienne translucide. | Mouiller avec | le bouillon | et incorporer le concentré de tomates. Ajouter les épices et les herbes. | A ébullition, baisser le feu et disposer les morceaux de poulet, les côtelettes et les légumes sur le riz. | Recouvrir d’une feuille de papier aluminium et laisser mijoter la paella à feu doux jusqu’à cuisson du poulet et absorption de la sauce. | Laisser reposer la paella 5 mn avant de la servir.",False,1|2|4|6,760.67
2,https://www.choumicha.ma/recette/1582-jus-de-fruits-et-legumes.html,Jus de fruits et légumes,Saveurs du maroc,Jus et boissons,20m,40m,6,Pour le jus de bettrave et de carotte à l'orange : | 2 belles betteraves | 2 carottes | 1 litre de jus d’orange fraîchement pressé | 2 c. à soupe d’eau de fleurs d’oranger | Pour le jus d'abricots secs à l'orange : | 100 g d’abricots secs | 1 l de jus d’orange fraîchement pressé | Pour le jus de melon et pomelos au gingembre : | 4 gros pomelos | 350 g de chair de melon orange | 2 cm de gingembre frais râpé | 10 cl d’eau glacée | 2 c. à soupe de miel (ou plus selon le goût),"Préparation | Jus de bettrave et de carotte à l'orange : | Laver les betteraves, les peler et les couper en morceaux. Déposer les morceaux de betterave dans une casserole, les couvrir à hauteur d’eau et les cuire à feu moyen pendant 15 à 20 mn environ. Retirer la betterave du feu et la laisser refroidir dans son eau de cuisson. Râper les carottes dans une râpe fine. Dans un blinder, mixer la betterave avec son eau de cuisson, les carottes râpées et le jus d’orange. Parfumer le jus d’eau de fleurs d’oranger et le servir bien frais. | Jus d'abricots secs à l'orange : | Laver les abricots secs et les tremper dans 25 cl de jus d’orange pendant 60 mn pour les réhydrater. Dans un blinder, mixer les abricots réhydratés avec le jus d’orange. Servir le jus bien frais. | Jus de melon et pomelos au gingembre : | Presser les pomelos pour en extraire le jus. Dans un blinder, mixer le jus de pomelos avec la chair de melon, le gingembre frais et le miel. Servir le jus bien frais.",False,2|5|6,228.04
3,https://www.choumicha.ma/recette/1572-salade-de-petits-plombs-aux-legumes-et-au-thon.html,Salade de petits plombs aux légumes et au thon,Saveurs du maroc,Salades,0m,30m,4,200 g de petits plombs | 2 l d'eau | 1 c. à thé bombée de sel | Pour la garniture : | 50 g de petits pois cuits | 1/2 poivron vert coupé en dés | 1/2 poivron rouge coupé en dés | 50 g d'olives vertes coupées en petits morceaux | 50 g d'olives noires coupées en petits morceaux | 2 tomates pelées et épépinées coupées en dés | 2 c. à soupe d'oignon émincé | 200 g de thon égoutté | 80 g de pois chiches cuits | Feuilles de persil émincées | 1 filet d'huile d'olive | 1 filet de jus de citron | Sel et poivre | Pour le décor : | Tranches de citron | Feuilles de persil,"Préparation | Cuire les pâtes dans de l'eau bouillante salée. | Égoutter les pâtes et les rincer à l'eau froides. | Déposer les pâtes dans un grand bol, y ajouter les légumes, le persil émincé et les assaisonner. | Dresser la salade de petits plombs dans un plat, la garnir de thon, de tranches de citron et de feuilles de persil. | Servir la salade froide.",False,1|2|4|5|6,235.69
4,https://www.choumicha.ma/recette/1574-harira-aux-pates-langues-doiseaux.html,Harira aux pâtes langues d'oiseaux,Saveurs du maroc,Soupes et hariras,0m,1h,6,"1 oignon émincé | 250 g de blanc de poulet coupé en morceaux | 1 c. à soupe de concentré de tomate | 3 tomates râpées | 100 g de pois chiches trempés et débarrassés de leur peau | 150 g de carottes coupées en dés | 1 bâtonnet de cannelle | 1 c. à thé de gingembre | 1 c. à thé de curcuma | 1/2 c. à thé de poivre | 3 c. à soupe d'huile | 2,5 l d'eau | 150 g de pâtes langues d'oiseaux | 1 c. à soupe de coriandre émincée | 1 c. à soupe de céleri émincé | 1/2 c. à thé de beurre rance ""S'men"" (facultatif) | Sel | Pour servir : | Quartiers de citron","Préparation | Dans une marmite sur feu doux, faire revenir l'oignon émincé dans l'huile pendant 3 mn. | Ajouter les morceaux de poulet, la tomate et le concentré de tomate, les pois chiches, les carottes et les épices puis mouiller avec l'eau. | Couvrir et laisser cuire jusqu'à ce que les pois chiches deviennent tendres. | Ajouter les pâtes langues d'oiseaux, les herbes, le beurre rance et le sel. | Continuer la cuisson à feu doux et en remuant pendant 12 à 15 mn environ. | Servir la Harira aussitôt accompagnée de quartiers de citron.",False,1|2|4|5|6,124.1
5,https://www.choumicha.ma/recette/1576-berkoukech-aux-legumes.html,Berkoukech aux légumes,Saveurs du maroc,Plats principaux,1h 30m,1h 30m,4,"250 g de petits plombs | 1 oignon émincé | 1 tomate râpée | 250 g de viande coupée en morceaux | 1 c. à thé de piment rouge doux | 1 c. à thé de gingembre | 1/2 c. à thé de poivre | 1 c. à thé de cumin | 1 c. à thé de curcuma | 50 g de lentilles trempées dans l'eau pendant 1 heure | 80 g de haricots trempés dans l'eau pendant toute une nuit | 80 g de pois chiches trempés et débarrassés de leur peau | 1 bouquet de persil et de coriandre | 80 g de petits pois | 80 g de haricots verts coupés en morceaux | 1/2 poivron vert coupé en morceaux | 80 g de navet coupé en morceaux | 80 g de carotte coupée en morceaux | 80 g de courgette coupée en morceaux | 1 c. à thé de ""Smen"" beurre rance (facultatif) | 4 c. à soupe d'huile | Sel | 2 l d'eau","Préparation | Dans une marmite sur feu doux, faire revenir les morceaux de viande avec l'oignon, la tomate et les épices dans l'huile pendant 3 à 5 mn. | Mouiller avec l'eau et rajouter les haricots, les pois chiches et le bouquet d'herbes. | Couvrir et laisser mijoter jusqu'à la mi-cuisson des féculents. | Ajouter les lentilles et continuer la cuisson 10 à 15 mn. | Incorporer les légumes, le sel, le beurre rance et les petits plomb (compter environ 1 à 1,25 l de bouillon). | Continuer la cuisson à feu doux jusqu'à ce que les pâtes absorbent le bouillon et deviennent tendres. | Servir le plat aussitôt. | Bon à savoir : | si vous n'avez pas assez de bouillon pour la cuisson des petits plomb, rajoutez de l'eau chaude.",False,1|2|3|4|5|6,129.22
6,https://www.choumicha.ma/recette/1578-linguine-aux-fruits-de-mer.html,Linguine aux fruits de mer,Saveurs du maroc,Poissons et crustacés,0m,30m,4,380 g de Linguine | 3 l d'eau | 1 c. à soupe de sel | Pour la sauce : | 1 c. à soupe d'oignon finement émincé | 1/2 gousse d'ail émincée | 20 g de beurre | 1 filet d'huile | 1 filet de jus de citron | 8 pistils de safran | 20 cl de fumet de poisson ou de bouillon de crevettes | 100 g de crevettes décortiquées | 100 g d'anneaux de calamars | 400 g de palourdes | 4 c. à soupe de crème fraîche | Pour le décor : | Feuilles de persil | Tranches de citron | Pour le bouillon de crevettes : | Parures de crevettes | 1/4 de citron | 1/4 de poivron rouge | 1 feuille de laurier | Brins de thym | 3 gousses d'ail | 1 l d'eau,"Préparation | Préparation du bouillon de crevettes : | Dans une marmite, déposer tous les ingrédients du bouillon de crevettes. Amener à ébullition, baisser le feu et laisser réduire de moitié. Retirer du feu et laisser refroidir le bouillon avant de le passer au chinois pour le filtrer. | Préparation des pâtes : | Cuire les pâtes dans de l'eau bouillante salée pendant 8 mn. Entre temps, chauffer le beurre et l'huile dans une poêle sur feu doux et y faire revenir l'oignon et l'ail émincés. Ajouter un filet de jus de citron, le bouillon de crevettes et les pistils de safran. Laisser mijoter 5 mn puis rajouter les palourdes, les calamars, les crevettes, les pâtes égouttées et la crème fraîche. Continuer la cuisson des pâtes à feu doux et en remuant jusqu'à ce qu'elles soient ""Al dente"", environ 4 à 6 mn. | Dresser les Linguine dans un plat de service et les garnir de feuilles de persil et de citron. | Bon à savoir : | pour supprimer toute trace de sable des palourdes, les placer dans de l'eau salée pendant 30 mn, les égoutter et rincer jusqu'à ce que l'eau devienne claire.",False,1|2|5|6,297.3
7,https://www.choumicha.ma/recette/1566-seffa-medfouna-au-poulet.html,Seffa Medfouna au poulet,Saveurs du maroc,Volailles,1h,2h,6,"1 poulet de 1,5 kg coupé en morceaux | 1 kg d'oignon finement émincé | 1 bouquet de persil émincé | 5 c. à soupe d'huile | 1 c. à thé de beurre rance ""Smen"" (facultatif) | 1 c. à thé de gingembre | 1 c. à thé de curcuma | 1/2 c. à thé de poivre | 8 pistils de safran | 2 bâtonnets de cannelle | 10 cl d'eau | Sel | Pour le vermicelle : | 500 g de cheveux d'ange cuit à la vapeur | 1 c. à soupe de beurre | 250 g d'amandes mondées, grillées et concassées | 80 g de sucre glace | 1 c. à soupe de cannelle","Préparation | Dans une marmite sur feu doux, déposer l'oignon, le poulet, les épices et l'huile. Faire revenir le tout pendant 10 mn en remuant régulièrement. Ajouter le beurre rance, la moitié du persil et l'eau. Couvrir et laisser mijoter à couvert et en remuant de temps à autre jusqu'à cuisson du poulet. | Retirer le poulet de la marmite et rajouter le persil restant, continuer la cuisson de la sauce jusqu'à ce que l'oignon prenne une consistance de compote. | Désosser le poulet et le remettre avec la sauce d'oignon. | Dans un grand plat, enduire | le vermicelle chaud | de beurre. Disposer la moitié du vermicelle dans un plat de service et le garnir de poulet aux oignons. | Recouvrir avec le reste de vermicelle puis garnir d'amandes concassées, de sucre glace et de cannelle. | Servir le plat chaud accompagné de lait parfumé à l'eau de fleur d'oranger.",False,1|2|4|5|6,3726.05
8,https://www.choumicha.ma/recette/1568-seffa-aux-raisins-secs-et-aux-amandes.html,Seffa aux raisins secs et aux amandes,Saveurs du maroc,Plats principaux,0m,45m,4,"360 g de cheveux d’ange cuit à la vapeur | 10 cl de lait | 1/2 c. à café de sel | 2 c. à soupe d'eau de fleurs d'oranger | 150 g de raisins secs | 40 g de beurre | 50 g de sucre glace | Pour servir : | 200 g d'amandes mondées, grillées et concassées | 2 c. à soupe de sucre glace | 1 c. à thé de cannelle","Préparation | Saler le lait et le chauffer. Laver les raisins secs et les hacher finement. | Dans un grand plat, déposer | le vermicelle chaud | et l'enduire de beurre. | Arroser le vermicelle de lait chaud, d'eau de fleurs d'oranger puis incorporer les raisins secs et le sucre glace. | Dresser le vermicelle dans un plat de service, le saupoudrer d'amandes concassées, de sucre glace et de cannelle. | Servir Seffa accompagnée de lait parfumé à l'eau de fleurs d'oranger.",True,1|2|3|4|5|6,799.74
9,https://www.choumicha.ma/recette/1570-chorba-de-vermicelle-au-poulet-et-aux-oignons.html,Chorba de vermicelle au poulet et aux oignons,Saveurs du maroc,Volailles,0m,0m,1,"2 cuisses de poulet sans la peau | 1 oignon émincé | 40 g de beurre | 1 c. à soupe d'huile | 250 g de petits oignons | 1 petit bouquet de persil et de coriandre | 1 c. à café de smen (facultatif) | 1 bâtonnet de cannelle | 6 pistils de safran | 1,5 l d'eau | 100 g de vermicelle moyen | Sel | Pour servir : | Feuilles de coriandre","Préparation | Dans une marmite sur feu doux, faire revenir l'oignon émincé et les cuisses de poulet dans l'huile et le beurre pendant 2 mn. | Mouiller avec l'eau et rajouter le bouquet d'herbes, les épices et les petits oignons. | Cuire le tout à couvert et à feu doux jusqu'à ce que la chair de poulet commence à se détacher de l'os. | Retirer les cuisses de poulet de la marmite puis rajouter le vermicelle en pluie et en remuant pendant 8 à 10 mn. | Désosser et émietter les cuisses de poulet. Remettre le poulet émietté dans la marmite, ajouter le smen puis retirer du feu. | Servir la Chorba aussitôt décorée de brins de coraindre.",False,1|2|3|5|6,266.88
10,https://www.choumicha.ma/recette/1560-mhamessa-au-lait.html,M'Hamessa au lait,Saveurs du maroc,Plats principaux,0m,0m,1,"500 g de petits plombs | 1,5 l d'eau | 1 c. à thé de sel | 75 cl de lait | 80 g de beurre | 100 g de miel (facultatif)","Préparation | Dans une marmite, faire bouillir l'eau, la saler puis rajouter les petits plombs en pluie. | Laisser cuire à feu doux et en remuant régulièrement jusqu'à ce que les petits plombs absorbent l'eau de cuisson. | Ajouter le lait et continuer la cuisson pendant quelques minutes. | Servir la M'Hamessa aussitôt avec du beurre et du miel.",True,1|2|3|4|5|6,5406.58
